지점번호,지점명,일시,일조합(hr),일조율(%),일사합(MJ/m2),일사량(kWh/m²),발전량(kWh)
108,서울,2015-06-01,258.1,58.39,530.22,147.295116,424.20993408000004
108,서울,2015-07-01,176.1,39.23,428.46,119.02618799999999,342.79542144
108,서울,2016-06-01,229.7,51.97,508.07,141.141846,406.48851648
108,서울,2016-07-01,160.4,35.76,403.01,111.956178,322.43379264000004
108,서울,2017-06-01,285.2,64.51,625.27,173.700006,500.25601728000004
108,서울,2017-07-01,123.1,27.44,375.27,104.25000599999998,300.24001727999996
108,서울,2018-06-01,236.6,53.51,602.59,167.399502,482.11056576000004
108,서울,2018-07-01,228.5,52.64,561.1,155.87358,448.9159104
108,서울,2019-06-01,235.1,53.18,589.02,163.629756,471.25369728
108,서울,2019-07-01,150.1,33.44,426.99,118.617822,341.61932736
108,서울,2020-06-01,206.1,46.62,603.98,167.785644,483.22265472000004
108,서울,2020-07-01,119.4,26.62,464.55,129.05199,371.66973119999994
108,서울,2021-06-01,185.5,41.96,563.35,156.49863,450.7160544000001
108,서울,2021-07-01,195.2,43.51,578.3,160.65174,462.6770111999999
108,서울,2022-06-01,131.9,29.83,440.59,122.39590199999999,352.50019776
108,서울,2022-07-01,140.1,31.22,508.79,141.341862,407.06456256
108,서울,2023-06-01,195.1,44.13,572.17,158.948826,457.77261888000004
108,서울,2023-07-01,146.1,32.55,478.8,133.01064,383.07064319999995
108,서울,2024-06-01,285.6,64.6,714.52,198.493656,571.66172928
108,서울,2024-07-01,96.3,21.48,402.43,111.795054,321.96975552
108,서울,2025-06-01,191.2,43.25,565.72,157.157016,452.61220607999996
108,서울,2025-07-01,174.9,38.99,538.53,149.603634,430.85846592
