"태양광발전시설명","소재지도로명주소","가동상태구분명","설비용량(kw)","공급전압(V)","주파수(Hz)","설치연도","데이터기준일자"
"제일교회햇빛발전소","서울시 중구 오장동 101-21","가동중","19.2","380","60","2018","2022-12-02"
"원불교 요안 햇빛발전소","서울시 강서구 가로공원로84길 59(화곡1동 352-46)","가동중","3","","60","2006","2022-12-02"
"수도전기공업고등학교","서울시 강남구 개포로 410(개포동 155)","가동중","90","","60","2006","2022-12-02"
"?일조각 파워하우스","서울시 종로구 신문로2가 1-335, 일조각 출판사","가동중","3","","60","2008","2022-12-02"
"재단법인 아산복지재단","서울시 송파구 올림픽로43길 88(풍납동 388-1)","가동중","147","","60","2008","2022-12-02"
"?청파 햇빛발전소","서울시 용산구 청파동 85","가동중","3","","60","2008","2022-12-02"
"홈플러스 주식회사","서울시 영등포구 당산로 42(문래동3가 55-3)홈플러스 영등포점","가동중","19.04","","60","2008","2022-12-02"
"?서남 태양광발전소(서남물재생센터)","서울시 강서구 마곡동 91(서남물재생센터)","가동중","1300","","60","2011","2022-12-02"
"?등마루 태양광발전소","서울시 강서구 화곡로 218(화곡동 24-236외 1필지)","가동중","4.8","","60","2008","2022-12-02"
"pos-ac, poscon 공동사옥 태양광발전소","서울시 강남구 선릉로 577(역삼동 682-20, 21)","가동중","35","","60","2009","2022-12-02"
"하버드 태양광발전소","서울시 마포구 와우산로26길 20(창전동 6-268)","가동중","9","","60","2009","2022-12-02"
"국회 태양광발전소(국회의사당)","서울시 영등포구 의사당대로 1(여의도동1, 국회의사당)","가동중","29","","60","2009","2022-12-02"
"그린에너지 태양광발전소(서경대학교)","서울시 성북구 서경로 124(정릉동 산16-1 서경대학교)","가동중","97.2","","60","2009","2022-12-02"
"sk 주유소 태양광발전소","서울시 양천구 안양천로 1179(목동 123)","가동중","19.6","","60","2009","2022-12-02"
"링컨 태양광발전소","서울시 용산구 서빙고로59길 3(서빙고동 198-1)","가동중","10.5","","60","2009","2022-12-02"
"송파공고 태양광발전소","서울시 송파구 양산로 21(거여동 331, 송파공고)","가동중","3","","60","2010","2022-12-02"
"롯데마트 영등포 태양광발전소","서울시 영등포구 영중로 125(영등포동 8가 62-1)","가동중","99.258","","60","2011","2022-12-02"
"롯데마트 구로 태양광발전소","서울시 구로구 경인로 482(구로동 636-89)","가동중","98.28","","60","2011","2022-12-02"
"롯데마트 중계 태양광발전소","서울시 노원구 노원로 330(중계동 361)","가동중","98.28","","60","2011","2022-12-02"
"?롯데마트 금천 태양광발전소","서울시 금천구 두산로 71(독산동 295-10)","가동중","99.072","","60","2011","2022-12-02"
"드림쏠라 태양광발전소 3호기","서울시 양천구 목동동로8길 11(신정동 294-39)","가동중","17.172","","60","2012","2022-12-02"
"드림쏠라 태양광발전소 4호기","서울시 광진구 자양로44길 12(구의동 57-89)","가동중","11.44","","60","2011","2022-12-02"
"명인 태양광발전소","서울시 강남구 선릉로112길 87(삼성동 48-13)","가동중","9.2","","60","2011","2022-12-02"
"GS칼텍스(주) 남서울주유소 태양광발전소","서울시 서초구 나루터로 83(잠원동 13-6)","가동중","5","220","60","2010","2022-12-02"
"이마트월계 태양광발전소","서울시 노원구 마들로3길 15(월계동 333-1)","가동중","97.846","","60","2011","2022-12-02"
"대방 태양광발전소?","서울시 동작구 여의대방로24길 101(대방동 404-4, 407-42)","가동중","15","","60","2012","2022-12-02"
"보람 태양광발전소?","서울시 성북구 보국문로 54(정릉동 401-63)","가동중","10.08","","60","2011","2022-12-02"
"광암아리수정수센터 태양광발전소","경기도 하남시 서하남로 293(광암동 187-1)","가동중","810","","60","2013","2022-12-02"
"이미순 태양광발전소","서울시 서초구 홍씨마을길 43-3(내곡동 88-16)","가동중","9","","60","2012","2022-12-02"
"송파나눔발전소 3호(송파구 자원순환공원)","서울시 송파구 헌릉로 793(장지동877, 자원순환공원)","가동중","99.36","","60","2012","2022-12-02"
"리빙스톤 태양광발전소","서울시 서대문구 성산로17길 18-5(연희동 340-17)","가동중","12.69","380","60","2013","2022-12-02"
"지민 태양광발전소","서울시 은평구 통일로82가길 29(불광동 377-18)","가동중","12","380","60","2012","2022-12-02"
"기정 태양광발전소","서울시 성북구 정릉로10길 3(정릉3동 647-12)","가동중","20","380","60","2012","2022-12-02"
"블루밍코트태양광발전소 ","서울시 강남구 논현로71길 46(역삼동 789-27, 28)","가동중","43.68","380","60","2013","2022-12-02"
"아이엠 태양광발전소","서울시 성북구 보국문로14길 15(정릉동 402-107)","가동중","15.6","220","60","2013","2022-12-02"
"세종 태양광발전소 ","서울시 성북구 장월로2길 34(상월곡동 29-38)","가동중","19.04","380","60","2015","2022-12-02"
"무과수마트 태양광발전소","서울시 마포구 와우산로29가길 29(서교동 337-20)","가동중","25.38","380","60","2013","2022-12-02"
"인수 태양광발전소 ","서울시 은평구 은평로21길 31-10(녹번동 75-20)","가동중","12","380","60","2013","2022-12-02"
"법조타워 태양광발전소 ","서울시 서초구 서초대로 264(서초동 1554-4)","가동중","14.95","380","60","2014","2022-12-02"
"봉주하계태양광발전소 ","서울시 노원구 공릉로 360(하계동 208-32)","가동중","18","380","60","2013","2022-12-02"
"영식 태양광발전소","서울시 강서구 공항대로44길 46(화곡동 1099-13)","가동중","14","220","60","2013","2022-12-02"
"송건호 태양광발전소","서울시 강동구 올림픽로112길 4-29(암사동 116-27)","가동중","25.48","220","60","2013","2022-12-02"
"OCI암사태양광발전소(암사아리수정수센터)","서울시 강동구 암사동 3(암사아리수정수센터)","가동중","2475","22900","60","2013","2022-12-02"
"도시개발㈜ 강서시장 태양광발전소(강서농산물도매시장)","서울시 강서구 발산로 40(외발산동 427, 강서농산물도매시장)","가동중","1190.7","22900","60","2013","2022-12-02"
"영신 태양광발전소","서울시 강남구 강남대로44길 16(도곡동 954-4)","가동중","10","220","60","2013","2022-12-02"
"오에스 태양광발전소","서울시 송파구 백제고분로7길 28-35(잠실동 203-2)","가동중","13.26","380","60","2013","2022-12-02"
"신양지파크 태양광발전소 ","서울시 동작구 사당로9가길 14(사당동 220-37)","가동중","12","220","60","2013","2022-12-02"
"제이엔비 태양광발전소","서울시 성북구 정릉로15길 21(정릉3동 670-13)","가동중","15","380","60","2013","2022-12-02"
"아폴론(Apollon)","서울시 동대문구 천호대로91길 83(장안동 359-6)","가동중","19.08","380","60","2014","2022-12-02"
"도봉차량기지 1호기","경기도 의정부시 서계로 42(장암동 153), 도봉차량기지","가동중","700","","60","2013","2022-12-02"
"원당 태양광발전소","서울시 도봉구 방학로17길 41(방학동 548-1)","가동중","19.5","220","60","2013","2022-12-02"
"㈜강산씨앤디 태양광발전소","서울시 구로구 남부순환로97길 3(개봉동 203-8외 3필지)","가동중","30","380","60","2013","2022-12-02"
"은자 태양광발전소","서울시 성북구 석관동 168-31","가동중","19.845","380","60","2018","2022-12-02"
"서울나눔발전소 1호(암사아리수정수센터)","서울시 강동구 암사동 3(암사아리수정수센터)","가동중","2499.48","22900","60","2013","2022-12-02"
"구의힐링 태양광발전소","서울시 광진구 천호대로136길 16(구의동 72-1)","가동중","7.8","220","60","2013","2022-12-02"
" 송파나눔발전소 4호(송파구 자원순환공원)","서울시 송파구 헌릉로 793(장지동 877, 자원순환공원)","가동중","98.8","380","60","2013","2022-12-02"
"뉴로얄태양광발전소","서울시 관악구 봉천동 29(봉천동 910-1)","가동중","20","380","60","2013","2022-12-02"
"서남물재생센터 태양광발전소 ","서울시 강서구 마곡동 218-2(서남물재생센터)","가동중","2995","22900","60","2013","2022-12-02"
"중랑물재생센터 태양광발전소 ","서울시 성동구 송정동 74-293(중랑물재생센터)","가동중","700","22900","60","2013","2022-12-02"
" OCI수서태양광발전소(수서차량기지)","서울시 강남구 밤고개로5길 46-13(수서동 173외 38필지, 수서차량기지)","가동중","675","22900","60","2014","2022-12-02"
"서울나눔발전소2호(구의역 1단계)","서울시 광진구 아차산로 384-1(구의동 245-24, 구의역)","가동중","98.8","380","60","2013","2022-12-02"
"삼각산고등학교 태양광발전소","서울시 강북구 미아동 1267-38(삼각산고등학교)","가동중","19.11","220","60","2013","2022-12-02"
"칠만제1태양광발전소","서울시 광진구 동일로 337(중곡동 610-11)","가동중","18.72","380","60","2014","2022-12-02"
"해동 태양광발전소","서울시 중랑구 용마산로139가길 91(신내동 290-7)","가동중","30","380","60","2014","2022-12-02"
"건국대학교 태양광발전소","서울시 광진구 능동로 120(화양동 1, 건국대학교 상허기념도서관)","가동중","99","380","60","2013","2022-12-02"
"성북나눔발전소1호(성북구의회)","서울시 성북구 북악산로 949-60(종암동 54-182,성북구의회)","가동중","60","380","60","2013","2022-12-02"
"덕신 태양광발전소","서울시 강북구 삼양로131길 13(수유동 282-280)","가동중","19.5","220","60","2013","2022-12-02"
"금보 태양광발전소","서울시 서대문구 연희로14길 62-57(연희동 51-91)","가동중","30","380","60","2014","2022-12-02"
"과연 태양광발전소","서울시 금천구 가산로5길 29(가산동 234-31)","가동중","18","220","60","2013","2022-12-02"
"씨에스비 태양광발전소","서울시 광진구 뚝섬로58길 5(자양동 679-2)","가동중","19.5","220","60","2013","2022-12-02"
"우리당 태양광발전소","서울시 동대문구 약령중앙로 10-3(제기동 1123-1)","가동중","12","220","60","2013","2022-12-02"
"서주 태양광발전소","서울시 강서구 강서로27길 5(화곡동 401-22)","가동중","15","220","60","2014","2022-12-02"
"하늘빛 에너지발전소","서울시 광진구 동일로76길 51-22(중곡동 693-9)","가동중","14.88","220","60","2014","2022-12-02"
"지산 태양광발전소","서울시 강북구 도봉로96길 24(번동 462-110)","가동중","12","220","60","2014","2022-12-02"
"오에스 태양광발전소2","서울시 송파구 백제고분로33길 32-7(석촌동 23-7)","가동중","10.4","220","60","2013","2022-12-02"
"돌이 태양광발전소","서울시 동작구 사당로 268(사당동 1001-33)","가동중","10","220","60","2013","2022-12-02"
"펜라이트","서울시 광진구 아차산로 219(화양동 48-14)","가동중","49.3","380","60","2013","2022-12-02"
"두바이 태양광발전소","서울시 강동구 천중로29길 14(천호동 105-4)","가동중","10","220","60","2015","2022-12-02"
"임대발전소","서울시 동대문구 천장산로7길 26-9(이문동 264-246)","가동중","12","380","60","2014","2022-12-02"
"이원 태양광발전소","서울시 강북구 도봉로30길 16(미아동 134-97)","가동중","12","380","60","2013","2022-12-02"
"강평환 태양광발전소","서울시 강서구 양천로18길 15(방화동 575-20)","가동중","19.5","220","60","2014","2022-12-02"
"백제발전소","서울시 은평구 통일로 1190-1(진관동 36-1, 백제운수)","가동중","49.5","380","60","2013","2022-12-02"
"안전한 발전소","서울시 은평구 통일로 1190-1(진관동 36-1, 백제운수)","가동중","49.5","380","60","2013","2022-12-02"
"도봉햇빛나눔발전소1호(창도초등학교)","서울시 도봉구 방학로 32-28(방학동 722-2, 창도초등학교)","가동중","99.75","380","60","2013","2022-12-02"
"에이치앤씨 발전소","서울시 강서구 월정로28가길 19-20(화곡동 359-51)","가동중","15","220","60","2014","2022-12-02"
